Month,Avg_Temp_Max,Avg_Temp_Min,Avg_Temp_Mean,Avg_Humidity,Avg_Apparent_Temp,Total_Precipitation
1,28.04,14.31,20.45,57.36,19.92,0.0
2,29.79,16.62,22.77,41.27,21.13,0.1
3,34.58,20.43,27.15,24.91,24.57,0.0
4,37.38,23.84,30.4,27.19,28.69,2.1
5,34.77,24.16,28.78,53.87,30.51,72.7
6,32.51,24.13,27.73,64.58,29.59,123.9
7,28.04,22.55,24.79,84.82,27.48,327.8
8,28.42,22.35,24.84,85.18,28.32,202.0
9,28.47,22.18,24.66,85.07,28.12,159.8
10,28.65,20.46,24.05,73.39,26.03,62.1
11,26.67,14.78,20.15,58.45,19.5,3.0
12,24.83,12.54,17.79,53.62,15.78,0.0
