latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
21.968365,78.981476,696.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm)
2025-01-24T00:00,16.6,73,16.3,0.00,0.00,0.00
2025-01-24T01:00,15.6,79,15.5,0.00,0.00,0.00
2025-01-24T02:00,15.7,79,15.4,0.00,0.00,0.00
2025-01-24T03:00,15.4,81,15.1,0.00,0.00,0.00
2025-01-24T04:00,14.9,83,14.7,0.00,0.00,0.00
2025-01-24T05:00,14.8,82,14.0,0.00,0.00,0.00
2025-01-24T06:00,14.2,88,13.9,0.00,0.00,0.00
2025-01-24T07:00,14.6,87,13.8,0.00,0.00,0.00
2025-01-24T08:00,17.5,77,17.1,0.00,0.00,0.00
2025-01-24T09:00,20.9,66,21.1,0.00,0.00,0.00
2025-01-24T10:00,23.3,56,23.6,0.00,0.00,0.00
2025-01-24T11:00,24.6,51,26.1,0.00,0.00,0.00
2025-01-24T12:00,25.6,49,27.8,0.00,0.00,0.00
2025-01-24T13:00,26.2,48,28.4,0.00,0.00,0.00
2025-01-24T14:00,26.9,44,28.5,0.00,0.00,0.00
2025-01-24T15:00,27.1,40,27.5,0.00,0.00,0.00
2025-01-24T16:00,26.8,39,26.8,0.00,0.00,0.00
2025-01-24T17:00,24.5,54,25.1,0.00,0.00,0.00
2025-01-24T18:00,22.1,61,23.1,0.00,0.00,0.00
2025-01-24T19:00,20.9,65,20.1,0.00,0.00,0.00
2025-01-24T20:00,20.0,69,19.4,0.00,0.00,0.00
2025-01-24T21:00,18.9,73,18.2,0.00,0.00,0.00
2025-01-24T22:00,18.1,77,17.7,0.00,0.00,0.00
2025-01-24T23:00,17.2,82,17.1,0.00,0.00,0.00
2025-01-25T00:00,16.8,83,16.5,0.00,0.00,0.00
2025-01-25T01:00,16.3,84,15.8,0.00,0.00,0.00
2025-01-25T02:00,15.5,87,14.7,0.00,0.00,0.00
2025-01-25T03:00,14.9,89,14.0,0.00,0.00,0.00
2025-01-25T04:00,14.4,90,13.5,0.00,0.00,0.00
2025-01-25T05:00,14.0,89,13.3,0.00,0.00,0.00
2025-01-25T06:00,13.5,93,13.0,0.00,0.00,0.00
2025-01-25T07:00,13.9,89,13.0,0.00,0.00,0.00
